method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
P-MRO;43545;0.021025611278496184;0;90936;60497
QACM;43546;0.09640241923795477;0;90053;60734
NC;43642;0.02360721176007338;0;97049;65269
SBD;43643;0.19161955465781277;0;96551;62645
P-ES;43644;0.0967781763024821;1;86520;58443
P-MRO;43645;0.020384517345909205;0;89713;59420
QACM;43646;0.0938182158305021;1;93741;63371
NC;43742;0.027069717870716256;0;87919;58142
SBD;43743;0.2161582771389203;0;97516;64720
P-ES;43744;0.09487473039132512;1;93042;62456
P-MRO;43745;0.021405436785699675;0;89748;60021
QACM;43746;0.09178725285952609;0;91821;60025
NC;43842;0.026095829704863644;0;84352;58222
SBD;43843;0.22332487652553112;0;99653;65449
P-ES;43844;0.09569884434425932;0;95801;64846
P-MRO;43845;0.02285227171619361;0;91850;61148
QACM;43846;0.08222221879222383;2;93859;62084
NC;43942;0.02551686229836467;1;90453;62048
SBD;43943;0.21899903405668533;0;103256;66657
P-ES;43944;0.09756030220073732;1;94579;62219
P-MRO;43945;0.01957818616731208;0;96871;64143
QACM;43946;0.10546269472868625;0;95092;62250
NC;44042;0.025412858325230474;0;89272;60422
SBD;44043;0.19043923351024536;0;98545;65354
P-ES;44044;0.09303129492389088;0;97315;62721
P-MRO;44045;0.02136224116054018;0;94275;62612
QACM;44046;0.09790328002181982;0;91991;61268
NC;44142;0.026571871446189724;0;92775;61303
SBD;44143;0.20823326186386285;0;98763;65288
P-ES;44144;0.09173528661879696;0;93415;62403
P-MRO;44145;0.021282254451676617;0;99930;66039
QACM;44146;0.09082497707316628;1;89160;58077
NC;44242;0.02640238160838031;0;88885;58812
SBD;44243;0.1805323237352216;0;91750;59626
P-ES;44244;0.10217289997107028;1;90855;62494
P-MRO;44245;0.023486969401262874;0;91223;60412
QACM;44246;0.08797389253269775;0;91634;60298
NC;44342;0.027429398620738753;0;91715;59365
SBD;44343;0.18131216857133034;0;90523;60053
P-ES;44344;0.09386976840805923;1;98789;63620
P-MRO;44345;0.02168952154918337;0;93036;60531
QACM;44346;0.0927136866266501;0;93517;63092
NC;44442;0.027689138103033317;1;82553;55938
SBD;44443;0.19986778903316035;0;93926;62949
P-ES;44444;0.09919946946150847;0;92085;58455
P-MRO;44445;0.02403507484555153;0;99304;64465
QACM;44446;0.08857209895182727;1;97408;62792
