time,current bs,availability,cio,hyst,ttt
286.0,6,1.0,0.0,1.0,0.08
287.0,6,1.0,0.0,1.0,0.08
288.0,6,1.0,0.0,1.0,0.08
289.0,6,1.0,0.0,1.0,0.08
290.0,6,1.0,0.0,1.0,0.08
291.0,6,1.0,0.0,1.0,0.08
292.0,6,1.0,0.0,1.0,0.08
293.0,6,1.0,0.0,1.0,0.08
294.0,6,1.0,0.0,1.0,0.08
295.0,6,1.0,0.0,1.0,0.08
296.0,6,1.0,0.0,1.0,0.08
297.0,6,1.0,0.0,1.0,0.08
298.0,6,0.991,0.0,1.0,0.08
299.0,6,0.991,0.0,1.0,0.08
300.0,6,0.991,0.0,1.0,0.08
301.0,6,0.991,0.0,1.0,0.08
302.0,6,0.7838,0.0,1.0,0.08
303.0,6,0.7838,0.0,1.0,0.08
304.0,6,0.7838,0.0,1.0,0.08
305.0,6,0.7838,0.0,1.0,0.08
306.0,6,0.7838,0.0,1.0,0.08
307.0,6,0.7838,0.0,1.0,0.08
308.0,6,0.7838,0.0,1.0,0.08
309.0,6,0.7838,0.0,1.0,0.08
310.0,6,0.7838,0.0,1.0,0.08
311.0,6,0.7838,0.0,1.0,0.08
312.0,6,0.991,0.0,1.0,0.08
313.0,6,0.991,0.0,1.0,0.08
314.0,6,0.991,0.0,1.0,0.08
315.0,6,0.991,0.0,1.0,0.08
316.0,6,0.991,0.0,1.0,0.08
317.0,6,0.991,0.0,1.0,0.08
318.0,6,0.991,0.0,1.0,0.08
319.0,6,0.991,0.0,1.0,0.08
320.0,6,0.991,0.0,1.0,0.08
321.0,6,0.991,0.0,1.0,0.08
322.0,6,0.991,0.0,1.0,0.08
323.0,6,0.991,0.0,1.0,0.08
324.0,6,0.991,0.0,1.0,0.08
325.0,6,0.991,0.0,1.0,0.08
326.0,6,0.991,0.0,1.0,0.08
327.0,6,0.991,0.0,1.0,0.08
328.0,6,0.991,0.0,1.0,0.08
329.0,6,0.991,0.0,1.0,0.08
330.0,6,0.991,0.0,1.0,0.08
331.0,6,0.991,0.0,1.0,0.08
332.0,6,0.991,0.0,1.0,0.08
333.0,6,0.991,0.0,1.0,0.08
334.0,6,0.991,0.0,1.0,0.08
335.0,6,0.991,0.0,1.0,0.08
336.0,6,0.991,0.0,1.0,0.08
337.0,6,0.991,0.0,1.0,0.08
338.0,6,0.991,0.0,1.0,0.08
339.0,6,0.991,0.0,1.0,0.08
340.0,6,0.991,0.0,1.0,0.08
341.0,6,0.991,0.0,1.0,0.08
342.0,6,0.991,0.0,1.0,0.08
343.0,6,0.991,0.0,1.0,0.08
344.0,6,0.991,0.0,1.0,0.08
345.0,6,0.991,0.0,1.0,0.08
